"Path","Status","PrototypeBytes","RetailBytes","PrototypeSHA256","RetailSHA256"
"MODULES/AUDIO.IRX","Changed","81832","91704","CE0981DD87C52F2253FE472E066237CDD574CA05C7DEE3A460DA4C190B8CC413","301F101C72C29EBECF368457B39DE5A3AC65DBBDF2CFF62E7B55470FB7E07F95"
"MODULES/IOPRP213.IMG","Identical","129577","129577","70FEDDFF98332F921A66694E7E96BEE1B3621AE26FCE20C1BC1C8B4AECEB14C6","70FEDDFF98332F921A66694E7E96BEE1B3621AE26FCE20C1BC1C8B4AECEB14C6"
"MODULES/LIBSD.IRX","Identical","25317","25317","71596EF4029F672205E1523DEDBD8DACFE5DFA50132C8A747B81289CD24F1DB6","71596EF4029F672205E1523DEDBD8DACFE5DFA50132C8A747B81289CD24F1DB6"
"MODULES/MCMAN.IRX","Identical","82701","82701","A622DA256AD7A65CF9372D1F5E90D3276895B9662E708832842A51CEED68216C","A622DA256AD7A65CF9372D1F5E90D3276895B9662E708832842A51CEED68216C"
"MODULES/MCSERV.IRX","Identical","6665","6665","BD181DDA244CE38F616181314AB75D19F4897F425EEC8CC635B66CE5EEA3EEF4","BD181DDA244CE38F616181314AB75D19F4897F425EEC8CC635B66CE5EEA3EEF4"
"MODULES/PADMAN.IRX","Identical","43861","43861","FDAA0A2FB57F01BBD7117EEF7544AFB7212710F9C1EB260984580A0AB6930358","FDAA0A2FB57F01BBD7117EEF7544AFB7212710F9C1EB260984580A0AB6930358"
"MODULES/SIO2MAN.IRX","Identical","6161","6161","F41E341EFE08AC407FCE467639D10BB2A4532B70A8A5829DBE350EDEF58516D7","F41E341EFE08AC407FCE467639D10BB2A4532B70A8A5829DBE350EDEF58516D7"
"MODULES/USBD.IRX","Identical","30317","30317","D695AF5F72CB766E597ABE3B67CD88B4B2579445084488BEA1ACA6B48A594A22","D695AF5F72CB766E597ABE3B67CD88B4B2579445084488BEA1ACA6B48A594A22"
"MODULES/USBKEYBD.IRX","Changed","12873","12873","3E772C16F4109828700D7D599997E3CEBE5F1E0AD926773DB00C06613910289A","4BB831602CEE672DE2A6975028B21B05C56A3CBF235564299AF6F5F304551BDE"
"SLUS_201.74","Changed","1013992","979560","44E74A35DD123E3504F81EDED1DB68844E2E082EDAA908EA47A7EA1EC9A924A0","E3C2C19B5FDEEAC9FB1F5A9B893346E7892E564796FA2F74FC40AE17A8ADE594"
"SYSTEM.CNF","Identical","57","57","B77C890EC41707ED98906088F8840283D8D766AD17E73DEA33514BBCB226FF1C","B77C890EC41707ED98906088F8840283D8D766AD17E73DEA33514BBCB226FF1C"
"XMAP.TXT","Prototype only","643966","0","D481D744940F1C0C1BE2216830E1F9BB05A8E026924B6FA04A5FD8AFBCA58302",""
